source_id,label,target_id
Episode:Wagon_Ride,HAS_RECAP_PART,Recap:Episode:Wagon_Ride_3
Episode:Wagon_Ride,HAS_RECAP_PART,Recap:Episode:Wagon_Ride_4
Episode:Taxi,HAS_RECAP_PART,Recap:Episode:Taxi_0
Episode:Taxi,HAS_RECAP_PART,Recap:Episode:Taxi_1
Episode:Taxi,HAS_RECAP_PART,Recap:Episode:Taxi_2
Episode:Taxi,HAS_RECAP_PART,Recap:Episode:Taxi_3
Episode:Taxi,HAS_RECAP_PART,Recap:Episode:Taxi_4
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_0
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_1
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_2
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_3
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_4
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_5
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_6
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_7
Episode:The_Beach,HAS_RECAP_PART,Recap:Episode:The_Beach_8
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_0
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_1
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_2
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_3
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_4
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_5
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_6
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_7
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_8
Episode:Pirates,HAS_RECAP_PART,Recap:Episode:Pirates_9
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_0
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_1
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_2
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_3
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_4
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_5
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_6
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_7
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_8
Episode:Grannies,HAS_RECAP_PART,Recap:Episode:Grannies_9
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_0
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_1
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_2
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_3
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_4
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_5
Episode:The_Creek,HAS_RECAP_PART,Recap:Episode:The_Creek_6
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_0
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_1
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_2
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_3
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_4
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_5
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_6
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_7
Episode:Fairies,HAS_RECAP_PART,Recap:Episode:Fairies_8
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_0
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_1
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_2
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_3
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_4
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_5
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_6
Episode:Work,HAS_RECAP_PART,Recap:Episode:Work_7
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_0
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_1
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_2
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_3
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_4
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_5
Episode:Bumpy_and_the_Wise_Old_Wolfhound,HAS_RECAP_PART,Recap:Episode:Bumpy_and_the_Wise_Old_Wolfhound_6
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_0
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_1
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_2
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_3
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_4
Episode:Trampoline,HAS_RECAP_PART,Recap:Episode:Trampoline_5
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_0
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_1
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_2
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_3
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_4
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_5
Episode:The_Dump,HAS_RECAP_PART,Recap:Episode:The_Dump_6
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_0
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_1
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_2
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_3
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_4
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_5
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_6
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_7
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_8
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_9
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_10
Episode:Zoo,HAS_RECAP_PART,Recap:Episode:Zoo_11
Episode:Backpackers,HAS_RECAP_PART,Recap:Episode:Backpackers_0
Episode:Backpackers,HAS_RECAP_PART,Recap:Episode:Backpackers_1
Episode:Backpackers,HAS_RECAP_PART,Recap:Episode:Backpackers_2
